"Resource URL","Resource Type","New File Name"
"https://mega-roms.vercel.app/_next/static/chunks/main-app-95e2b159ebf7d3ba.js","Script","Files\main-app-95e2b159ebf7d3ba(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/4277-4b9b3d4803ab3a40.js","Script","Files\4277-4b9b3d4803ab3a40(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js","Script","Files\polyfills-42372ed130431b0a(3).js"
"https://mega-roms.vercel.app/_vercel/speed-insights/script.js","Script","Files\script(5).js"
"https://mega-roms.vercel.app/_vercel/insights/script.js","Script","Files\script(6).js"
"https://mega-roms.vercel.app/_next/static/chunks/webpack-3e1d444ded1f13b7.js","Script","Files\webpack-3e1d444ded1f13b7(6).js"
"https://mega-roms.vercel.app/compare/","Web Page","Files\compare"
"https://mega-roms.vercel.app/_next/static/chunks/0-59b2c7b9e783849e.js","Script","Files\0-59b2c7b9e783849e.js"
"https://mega-roms.vercel.app/_next/static/chunks/app/not-found-dd2bc01dda6d75e1.js","Script","Files\not-found-dd2bc01dda6d75e1(2).js"
"https://mega-roms.vercel.app/_next/static/chunks/app/layout-5e64c701159c6115.js","Script","Files\layout-5e64c701159c6115(2).js"
"https://mega-roms.vercel.app/_next/static/chunks/1962-66c8432719f98a9a.js","Script","Files\1962-66c8432719f98a9a(2).js"
"https://mega-roms.vercel.app/_next/static/chunks/8032-3e138933360b5f7a.js","Script","Files\8032-3e138933360b5f7a(2).js"
"https://mega-roms.vercel.app/_next/static/chunks/870-4b9d9c65032f1fad.js","Script","Files\870-4b9d9c65032f1fad(2).js"
"https://mega-roms.vercel.app/_next/static/chunks/4052-893dc45315efdb65.js","Script","Files\4052-893dc45315efdb65(2).js"
"https://mega-roms.vercel.app/_next/static/chunks/8595-97f3d3ffff32edca.js","Script","Files\8595-97f3d3ffff32edca(2).js"
"https://mega-roms.vercel.app/_next/static/chunks/3527-33f628ca8d46fdb0.js","Script","Files\3527-33f628ca8d46fdb0(2).js"
"https://mega-roms.vercel.app/_next/static/chunks/6874-6d2b021c949f9ce8.js","Script","Files\6874-6d2b021c949f9ce8(2).js"
"https://mega-roms.vercel.app/_next/static/chunks/6424-f7bf7ce80bdb1c1c.js","Script","Files\6424-f7bf7ce80bdb1c1c(2).js"
"https://mega-roms.vercel.app/_next/static/chunks/app/template-a2fecfd4fbce7144.js","Script","Files\template-a2fecfd4fbce7144(2).js"
"https://mega-roms.vercel.app/custom-files/","Web Page","Files\custom-files"
"https://mega-roms.vercel.app/_next/static/chunks/app/custom-files/page-88046ae03c40b48e.js","Script","Files\page-88046ae03c40b48e.js"
"https://mega-roms.vercel.app/_next/static/chunks/app/not-found-dd2bc01dda6d75e1.js","Script","Files\not-found-dd2bc01dda6d75e1(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/app/template-a2fecfd4fbce7144.js","Script","Files\template-a2fecfd4fbce7144(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/app/layout-5e64c701159c6115.js","Script","Files\layout-5e64c701159c6115(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/1962-66c8432719f98a9a.js","Script","Files\1962-66c8432719f98a9a(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/8032-3e138933360b5f7a.js","Script","Files\8032-3e138933360b5f7a(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/870-4b9d9c65032f1fad.js","Script","Files\870-4b9d9c65032f1fad(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/4052-893dc45315efdb65.js","Script","Files\4052-893dc45315efdb65(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/8595-97f3d3ffff32edca.js","Script","Files\8595-97f3d3ffff32edca(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/3527-33f628ca8d46fdb0.js","Script","Files\3527-33f628ca8d46fdb0(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/6874-6d2b021c949f9ce8.js","Script","Files\6874-6d2b021c949f9ce8(3).js"
"https://mega-roms.vercel.app/_next/static/chunks/6424-f7bf7ce80bdb1c1c.js","Script","Files\6424-f7bf7ce80bdb1c1c(3).js"
"https://mega-roms.vercel.app/faq/","Web Page","Files\faq"
"https://mega-roms.vercel.app/_next/static/chunks/app/faq/page-100fb8b8f83e2764.js","Script","Files\page-100fb8b8f83e2764.js"
"https://mega-roms.vercel.app/_next/static/chunks/app/not-found-dd2bc01dda6d75e1.js","Script","Files\not-found-dd2bc01dda6d75e1(4).js"
"https://mega-roms.vercel.app/_next/static/chunks/app/template-a2fecfd4fbce7144.js","Script","Files\template-a2fecfd4fbce7144(4).js"
"https://mega-roms.vercel.app/_next/static/chunks/app/layout-5e64c701159c6115.js","Script","Files\layout-5e64c701159c6115(4).js"
"https://mega-roms.vercel.app/_next/static/chunks/1962-66c8432719f98a9a.js","Script","Files\1962-66c8432719f98a9a(4).js"
"https://mega-roms.vercel.app/_next/static/chunks/8032-3e138933360b5f7a.js","Script","Files\8032-3e138933360b5f7a(4).js"
"https://mega-roms.vercel.app/_next/static/chunks/870-4b9d9c65032f1fad.js","Script","Files\870-4b9d9c65032f1fad(4).js"
"https://mega-roms.vercel.app/_next/static/chunks/4052-893dc45315efdb65.js","Script","Files\4052-893dc45315efdb65(4).js"
"https://mega-roms.vercel.app/_next/static/chunks/8595-97f3d3ffff32edca.js","Script","Files\8595-97f3d3ffff32edca(4).js"
"https://mega-roms.vercel.app/_next/static/chunks/3527-33f628ca8d46fdb0.js","Script","Files\3527-33f628ca8d46fdb0(4).js"
